,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2809,0.0,Pennsylvania State University-Penn State Fayette- Eberly,0.07,0.12,20980.0,23740.0,0.8073,0.2353,0.7368,55620.0
2810,0.0,Pennsylvania State University-Penn State Hazleton,0.07,0.12,20980.0,28971.0,0.8991,0.1628,0.7614,55620.0
2811,0.0,Pennsylvania State University-Main Campus,0.07,0.12,20980.0,38049.0,0.5521,0.7278,0.9098,55620.0
2812,0.0,Pennsylvania State University-Penn State Greater Allegheny,0.07,0.12,20980.0,28706.0,0.8765,0.2763,0.6557,55620.0
2813,0.0,Pennsylvania State University-Penn State Mont Alto,0.07,0.12,20980.0,26565.0,0.913,0.2871,0.7453,55620.0
2814,0.0,Pennsylvania State University-Penn State Abington,0.07,0.12,20980.0,28611.0,0.9341,0.3228,0.7551,55620.0
2815,0.0,Pennsylvania State University-Penn State Schuylkill,0.07,0.12,20980.0,27788.0,0.8578,0.2525,0.8061,55620.0
2816,0.0,Pennsylvania State University-Penn State York,0.07,0.12,20980.0,26650.0,0.9287,0.1507,0.7249,55620.0
2817,0.0,Peirce College,0.10-0.19,<=0.10,22394.0,18260.0,,0.0,1.0,41647.0
2818,0.0,Penn Commercial Business/Technical School,0.20-0.39,<=0.20,9500.0,20635.0,0.6458,,,30177.0
2819,0.0,Pennco Tech-Bristol,0.20-0.39,<=0.20,7000.0,,,,,40521.0
2820,0.0,Pennsylvania Academy of the Fine Arts,<=0.20,<=0.20,20250.0,63997.0,0.9126,0.6667,0.8,24229.0
2821,0.0,Pennsylvania Gunsmith School,PS,PS,,,,,,36635.0
2822,0.0,Cortiva Institute,0.20-0.39,<=0.20,,,,,,25906.0
2823,0.0,Pennsylvania College of Art and Design,<=0.20,<=0.20,26000.0,39413.0,0.4431,0.625,0.6053,23638.0
2824,0.0,University of Pennsylvania,0.02,0.26,12035.0,83298.0,0.065,0.9274,0.9837,90555.0
2825,0.0,University of the Arts,0.10-0.14,0.05-0.09,24270.0,67900.0,0.8002,0.6296,0.7963,27011.0
2826,0.0,Cairn University-Langhorne,<=0.10,0.10-0.19,20000.0,44533.0,0.8098,0.4516,0.7922,37077.0
2827,0.0,Philadelphia College of Osteopathic Medicine,<=0.02,0.15-0.16,,,,,,
2828,0.0,Community College of Philadelphia,0.19,0.06,5750.0,18980.0,,,,31173.0
2829,0.0,University of Pittsburgh-Bradford,0.06,0.14,21419.0,28611.0,0.9355,0.3245,0.7056,54240.0
2830,0.0,University of Pittsburgh-Greensburg,0.06,0.14,21419.0,28051.0,0.976,0.3419,0.633,54240.0
2831,0.0,University of Pittsburgh-Johnstown,0.06,0.14,21419.0,27754.0,0.9741,0.4554,0.7641,54240.0
2832,0.0,University of Pittsburgh-Pittsburgh Campus,0.06,0.14,21419.0,35928.0,0.4914,0.7689,0.9266,54240.0
2833,0.0,University of Pittsburgh-Titusville,0.06,0.14,21419.0,25887.0,0.4571,,,54240.0
2834,0.0,Beaver Falls Beauty Academy,PS,PS,,,,,,18471.0
2835,0.0,Pittsburgh Institute of Aeronautics,0.10-0.19,<=0.10,12000.0,30067.0,,,,59400.0
2836,0.0,Pittsburgh Institute of Mortuary Science Inc,<=0.20,<=0.20,14500.0,,0.75,,,46066.0
2837,0.0,Pittsburgh Technical College,0.20-0.24,0.05-0.09,13264.0,33051.0,,0.4789,0.75,36852.0
2838,0.0,Pittsburgh Theological Seminary,PS,PS,,,,,,
2839,0.0,Point Park University,0.09-0.10,0.05-0.06,22125.0,49275.0,0.8205,0.541,0.7271,36906.0
2840,0.0,Joseph F McCloskey School of Nursing,PS,PS,14666.0,,,,,62865.0
2841,0.0,The Salon Professional Academy-Altoona,PS,PS,6333.0,,,,,29764.0
2842,0.0,Reading Area Community College,0.20-0.24,0.05-0.09,9225.0,14572.0,,,,32565.0
2843,0.0,Reading Hospital School of Health Sciences,<=0.20,<=0.20,16625.0,22459.0,0.129,,,71955.0
2844,0.0,Reconstructionist Rabbinical College,PS,PS,,,,,,
2845,0.0,Walnut Hill College,0.10-0.19,<=0.10,12000.0,34457.0,1.0,0.9947,0.1818,33867.0
2846,0.0,Robert Morris University,0.08,0.11,23500.0,48084.0,0.9377,0.5976,0.8152,54449.0
2847,0.0,Rosedale Technical College,0.20-0.29,<=0.10,12000.0,25763.0,0.7463,,,45219.0
2848,0.0,Rosemont College,0.10-0.19,<=0.10,27375.0,34813.0,0.7558,0.403,0.82,40852.0
